,name,loss,acc,iteration,iteration_time,event
52,DeepSITH_Tracker,0.2831543403871319,0.7995445284239241,52,0 days 00:00:02.924271000,HandStart
53,DeepSITH_Tracker,0.27844581969525095,0.8025314187036523,53,0 days 00:00:02.909493000,HandStart
54,DeepSITH_Tracker,0.27451963865594203,0.8076515517354242,54,0 days 00:00:02.921080000,HandStart
55,DeepSITH_Tracker,0.2569009985713974,0.8082882160070612,55,0 days 00:00:02.922900000,HandStart
56,DeepSITH_Tracker,0.2529146257340588,0.8117557431922297,56,0 days 00:00:02.914608000,HandStart
57,DeepSITH_Tracker,0.26497801405667715,0.8158220016708192,57,0 days 00:00:02.919609000,HandStart
58,DeepSITH_Tracker,0.26084891306665225,0.8171157380433615,58,0 days 00:00:02.914762000,HandStart
59,DeepSITH_Tracker,0.24468024747000064,0.8209251365087008,59,0 days 00:00:02.925253000,HandStart
60,DeepSITH_Tracker,0.24449036630427806,0.8252947406746015,60,0 days 00:00:02.914492000,HandStart
61,DeepSITH_Tracker,0.25428242597776546,0.8252099717141109,61,0 days 00:00:02.926684000,HandStart
62,DeepSITH_Tracker,0.24978845207991354,0.8270252833549482,62,0 days 00:00:02.924106000,HandStart
63,DeepSITH_Tracker,0.24627401375990032,0.8290452063046462,63,0 days 00:00:02.916741000,HandStart
64,DeepSITH_Tracker,0.24222122597986734,0.832427321994254,64,0 days 00:00:02.927038000,HandStart
65,DeepSITH_Tracker,0.22442319463566454,0.8323814186680057,65,0 days 00:00:02.903620000,HandStart
66,DeepSITH_Tracker,0.2210974476868954,0.837776040474424,66,0 days 00:00:02.921687000,HandStart
67,DeepSITH_Tracker,0.2352522413958003,0.8413930044263828,67,0 days 00:00:02.922741000,HandStart
68,DeepSITH_Tracker,0.2308491528149175,0.8390133488884243,68,0 days 00:00:02.913034000,HandStart
69,DeepSITH_Tracker,0.2142172813849486,0.8434696603986378,69,0 days 00:00:02.919367000,HandStart
70,DeepSITH_Tracker,0.2149694263873891,0.8453811901718837,70,0 days 00:00:02.912630000,HandStart
71,DeepSITH_Tracker,0.2262075014036995,0.8461692808349467,71,0 days 00:00:02.922442000,HandStart
72,DeepSITH_Tracker,0.22252758368318326,0.8500022424893222,72,0 days 00:00:02.918590000,HandStart
73,DeepSITH_Tracker,0.21951841664740776,0.8568403116002469,73,0 days 00:00:02.914337000,HandStart
74,DeepSITH_Tracker,0.21545445774350283,0.8575728862281359,74,0 days 00:00:02.919136000,HandStart
75,DeepSITH_Tracker,0.19739928159206763,0.8589419140068628,75,0 days 00:00:02.914734000,HandStart
76,DeepSITH_Tracker,0.1945065441991591,0.8599941017853702,76,0 days 00:00:02.916121000,HandStart
77,DeepSITH_Tracker,0.21057699072593708,0.8636461427068056,77,0 days 00:00:02.910105000,HandStart
78,DeepSITH_Tracker,0.2059010325418584,0.8628671734109857,78,0 days 00:00:02.915494000,HandStart
79,DeepSITH_Tracker,0.1887502803819865,0.8650442167781277,79,0 days 00:00:02.924411000,HandStart
80,DeepSITH_Tracker,0.19023017194898748,0.8675100458632222,80,0 days 00:00:02.906923000,HandStart
81,DeepSITH_Tracker,0.2030189740174295,0.8703590612615965,81,0 days 00:00:02.912152000,HandStart
82,DeepSITH_Tracker,0.20001091871125537,0.8726483386273158,82,0 days 00:00:02.923703000,HandStart
83,DeepSITH_Tracker,0.19730353712403753,0.8729250376053158,83,0 days 00:00:02.919492000,HandStart
84,DeepSITH_Tracker,0.193575958253602,0.875111235497862,84,0 days 00:00:02.928446000,HandStart
85,DeepSITH_Tracker,0.1751574667154019,0.8796725354956586,85,0 days 00:00:02.909405000,HandStart
86,DeepSITH_Tracker,0.17261369157010267,0.8814071877261657,86,0 days 00:00:02.918316000,HandStart
87,DeepSITH_Tracker,0.18994007132868312,0.8821586342450777,87,0 days 00:00:02.920634000,HandStart
88,DeepSITH_Tracker,0.18504191925340369,0.884794331090956,88,0 days 00:00:02.908295000,HandStart
89,DeepSITH_Tracker,0.16766220385702502,0.885277082294837,89,0 days 00:00:02.918143000,HandStart
90,DeepSITH_Tracker,0.17013071760816992,0.8856091517407508,90,0 days 00:00:02.915786000,HandStart
91,DeepSITH_Tracker,0.18398399100518764,0.8883675438931323,91,0 days 00:00:02.911841000,HandStart
92,DeepSITH_Tracker,0.1814630154560302,0.8886512250953471,92,0 days 00:00:02.916978000,HandStart
93,DeepSITH_Tracker,0.17962891678412216,0.8917304099195059,93,0 days 00:00:02.910997000,HandStart
94,DeepSITH_Tracker,0.17542553590117924,0.893442203900408,94,0 days 00:00:02.919715000,HandStart
95,DeepSITH_Tracker,0.1566090631012415,0.8945423415260345,95,0 days 00:00:02.920798000,HandStart
96,DeepSITH_Tracker,0.15445688221574913,0.8959161728016745,96,0 days 00:00:02.907867000,HandStart
97,DeepSITH_Tracker,0.1731977636781992,0.8973166924134768,97,0 days 00:00:02.927359000,HandStart
98,DeepSITH_Tracker,0.16775477225261842,0.8991836934305525,98,0 days 00:00:02.916216000,HandStart
99,DeepSITH_Tracker,0.15043022350436902,0.8998732838286094,99,0 days 00:00:02.916827000,HandStart
100,DeepSITH_Tracker,0.15359737959390746,0.9025880805827127,100,0 days 00:00:02.915146000,HandStart
101,DeepSITH_Tracker,0.16834744619308423,0.9020856745090612,101,0 days 00:00:02.913721000,HandStart
102,DeepSITH_Tracker,0.16560357253188138,0.9048078376087151,102,0 days 00:00:02.924063000,HandStart
103,DeepSITH_Tracker,0.16462380207479516,0.9053229740175998,103,0 days 00:00:02.917984000,HandStart
104,DeepSITH_Tracker,0.16018089749802997,0.9059706528992163,104,0 days 00:00:02.917609000,HandStart
105,DeepSITH_Tracker,0.14138953949415012,0.908439355113399,105,0 days 00:00:02.921820000,HandStart
106,DeepSITH_Tracker,0.13949730716030787,0.9107201303013571,106,0 days 00:00:02.916063000,HandStart
107,DeepSITH_Tracker,0.15925147202160042,0.9112782081796746,107,0 days 00:00:02.926390000,HandStart
108,DeepSITH_Tracker,0.15377222170691313,0.9099009020203584,108,0 days 00:00:02.909934000,HandStart
109,DeepSITH_Tracker,0.13600182859010626,0.9105335815548744,109,0 days 00:00:02.920915000,HandStart
110,DeepSITH_Tracker,0.13983034983241363,0.9116751510678164,110,0 days 00:00:02.924342000,HandStart
111,DeepSITH_Tracker,0.15500002441463456,0.9120302211205512,111,0 days 00:00:02.905059000,HandStart
112,DeepSITH_Tracker,0.15234297517743173,0.9145402704816302,112,0 days 00:00:02.919340000,HandStart
113,DeepSITH_Tracker,0.15271459888360775,0.9138427367000648,113,0 days 00:00:02.911889000,HandStart
114,DeepSITH_Tracker,0.14752744448595065,0.9167579604259265,114,0 days 00:00:02.915820000,HandStart
115,DeepSITH_Tracker,0.12871295804664848,0.9180612494257056,115,0 days 00:00:02.921859000,HandStart
116,DeepSITH_Tracker,0.12693389463286098,0.9176648982087171,116,0 days 00:00:02.910817000,HandStart
117,DeepSITH_Tracker,0.14781070857409864,0.9185902940071777,117,0 days 00:00:02.921978000,HandStart
118,DeepSITH_Tracker,0.14183595920961156,0.9205599565797408,118,0 days 00:00:02.916715000,HandStart
119,DeepSITH_Tracker,0.12414152011899994,0.9195887270505638,119,0 days 00:00:02.917185000,HandStart
120,DeepSITH_Tracker,0.1285036990279572,0.9209869164456443,120,0 days 00:00:02.916304000,HandStart
121,DeepSITH_Tracker,0.1440000226013994,0.9215695562075851,121,0 days 00:00:02.911842000,HandStart
122,DeepSITH_Tracker,0.14100812146467065,0.9229810824437009,122,0 days 00:00:02.929136000,HandStart
123,DeepSITH_Tracker,0.14210060969412505,0.9229118488776114,123,0 days 00:00:02.905842000,HandStart
124,DeepSITH_Tracker,0.13688491132398445,0.923455732985499,124,0 days 00:00:02.927726000,HandStart
125,DeepSITH_Tracker,0.11795824038488667,0.9257206895945255,125,0 days 00:00:02.918193000,HandStart
126,DeepSITH_Tracker,0.11659269403146388,0.925599818153444,126,0 days 00:00:02.919589000,HandStart
127,DeepSITH_Tracker,0.1377244331941932,0.9266496406620549,127,0 days 00:00:02.926282000,HandStart
128,DeepSITH_Tracker,0.13160603803669454,0.9261167813478687,128,0 days 00:00:02.912172000,HandStart
129,DeepSITH_Tracker,0.11397814581293882,0.9277782937257785,129,0 days 00:00:02.917795000,HandStart
130,DeepSITH_Tracker,0.11893753069731451,0.9269413908770208,130,0 days 00:00:02.921600000,HandStart
131,DeepSITH_Tracker,0.13428976528458342,0.9276661374468183,131,0 days 00:00:02.907623000,HandStart
132,DeepSITH_Tracker,0.13159036605739638,0.9283404598240947,132,0 days 00:00:02.926013000,HandStart
133,DeepSITH_Tracker,0.1335738751018682,0.929507088276366,133,0 days 00:00:02.917629000,HandStart
134,DeepSITH_Tracker,0.12787450046893922,0.9296724157204261,134,0 days 00:00:02.914129000,HandStart
